bing	52	bing	0.018057080131723382
bing	344	live search	0.018057080131723382
bing	354	msn search	0.018057080131723382
bing	98	comparison of web search engines	0.007259528130671507
bing	277	info.com	0.004716981132075474
bing	381	msnbot	0.0037878787878787897
bing	343	list of search engines	0.002986065029860652
bing	656	yebol	0.0021582733812949657
bing	245	goby inc.	0.0019455252918287936
bing	637	web search engine	0.0018876828692779614
bing	447	powerset (company)	0.001809408926417371
bing	520	search engine results pages	0.0016611295681063132
bing	336	leapfish	0.0012809564474807866
bing	187	dogpile	0.001225490196078432
bing	622	webcrawler	0.0011363636363636372
bing	427	organic search	0.0010869565217391304
bing	326	keyword (internet search)	9.889240506329123E-4
bing	519	search engine optimization	9.889240506329123E-4
bing	638	web search query	9.250693802035157E-4
bing	75	carrot2	7.830853563038373E-4
bing	525	semantic search	7.674597083653111E-4
bing	194	duckduckgo	7.429420505200596E-4
bing	654	yahoo! search	6.8870523415978E-4
bing	337	learning to rank	6.729475100942129E-4
bing	518	search engine marketing	6.540222367560501E-4
bing	619	volunia	6.09756097560976E-4
bing	492	robots.txt	5.455537370430991E-4
bing	493	robots exclusion standard	5.455537370430991E-4
bing	401	naver	5.219206680584554E-4
bing	631	web mining	4.7460844803037523E-4
bing	647	wolfram alpha	4.610419548178884E-4
bing	244	go.com	4.2087542087542086E-4
bing	466	quaero	4.0749796251018765E-4
bing	21	altavista	3.9308176100628933E-4
bing	373	microsoft	2.812675792237016E-4
bing	250	google search	2.7122321670735005E-4
bing	35	ask.com	2.1824530772588405E-4
bing	369	meta tags	1.579279848389135E-4
bing	355	machine learning	1.5465511908444179E-4
bing	152	data mining	1.1941724385001203E-4
bing	117	computer vision	1.1213276519398973E-4
bing	276	index (search engine)	1.000400160064027E-4
bing	517	search engine indexing	1.000400160064027E-4
bing	45	baidu	8.976660682226219E-5
bing	625	web crawler	7.235890014471785E-5
bing	626	web crawling	7.235890014471785E-5
bing	241	geographic information systems	5.674080798910584E-5
bing	247	google	3.1073270772481516E-5
bing	0	1890 us census	0.0
bing	1	a9.com	0.0
bing	2	acm computing classification system	0.0
bing	3	advise	0.0
bing	4	aol	0.0
bing	5	aol search	0.0
bing	6	academic press	0.0
bing	7	academic journal	0.0
bing	8	accuracy and precision	0.0
bing	9	actuate corporation	0.0
bing	10	adversarial information retrieval	0.0
bing	11	adverse drug reaction	0.0
bing	12	advertising	0.0
bing	13	aggregate (data warehouse)	0.0
bing	14	aggregate function	0.0
bing	15	alan emtage	0.0
bing	16	algorithm	0.0
bing	17	algorithm design	0.0
bing	18	aliweb	0.0
bing	19	alltheweb	0.0
bing	20	alpha consumer	0.0
bing	22	alvin weinberg	0.0
bing	23	analysis of algorithms	0.0
bing	24	analytics	0.0
bing	25	anchor modeling	0.0
bing	26	angoss	0.0
bing	27	anomaly detection	0.0
bing	28	archie comics	0.0
bing	29	archie search engine	0.0
bing	30	argonne national laboratory	0.0
bing	31	artificial intelligence	0.0
bing	32	artificial life	0.0
bing	33	artificial neural network	0.0
bing	34	as we may think	0.0
bing	36	association for computing machinery	0.0
bing	37	association rule	0.0
bing	38	association rule learning	0.0
bing	39	association rule mining	0.0
bing	40	association rules	0.0
bing	41	atlantic monthly	0.0
bing	42	automata theory	0.0
bing	43	automated reasoning	0.0
bing	44	automatic summarization	0.0
bing	46	bayes' theorem	0.0
bing	47	berlekamp	0.0
bing	48	bibliometrics	0.0
bing	49	bill inmon	0.0
bing	50	binary independence model	0.0
bing	51	binary classification	0.0
bing	53	bioinformatic	0.0
bing	54	bioinformatics	0.0
bing	55	biomedical	0.0
bing	56	blackle.com	0.0
bing	57	blekko	0.0
bing	58	boogami	0.0
bing	59	boolean algebra	0.0
bing	60	boolean operators	0.0
bing	61	bram stoker	0.0
bing	62	british petroleum	0.0
bing	63	business intelligence	0.0
bing	64	business intelligence tools	0.0
bing	65	buzzword	0.0
bing	66	c. j. van rijsbergen	0.0
bing	67	capps ii	0.0
bing	68	cern	0.0
bing	69	cikm conference	0.0
bing	70	crisp-dm	0.0
bing	71	calvin mooers	0.0
bing	72	cambridge university press	0.0
bing	73	cancer	0.0
bing	74	carnegie mellon university	0.0
bing	76	case western reserve university	0.0
bing	77	categorization	0.0
bing	78	category theory	0.0
bing	79	censorship	0.0
bing	80	chacha (search engine)	0.0
bing	81	chemicalize.org	0.0
bing	82	chess	0.0
bing	83	chess endgame	0.0
bing	84	churn rate	0.0
bing	85	clarabridge	0.0
bing	86	classification of the sciences (peirce)	0.0
bing	87	cloud storage	0.0
bing	88	cluster analysis	0.0
bing	89	co-occurrence	0.0
bing	90	cognitive science	0.0
bing	91	collaborative information seeking	0.0
bing	92	collaborative search engine	0.0
bing	93	column-oriented dbms	0.0
bing	94	combinatorial game	0.0
bing	95	combinatorics	0.0
bing	96	communications of the acm	0.0
bing	97	comparison of olap servers	0.0
